strategy,final_value,total_return_%,mdd_%
Basic K=0.3,514713.0,-94.85,-94.85
Basic K=0.5,153069.0,-98.47,-98.47
Basic K=0.7,169481.0,-98.31,-98.31
Enhanced K=0.3 (MA5+TP5%/SL3%),1264636.0,-87.35,-87.52
Enhanced K=0.5 (MA5+TP5%/SL3%),600203.0,-94.0,-94.03
Enhanced K=0.7 (MA5+TP5%/SL3%),595159.0,-94.05,-94.07
ATR_Trailing K=0.3 (SL×1.5/TP×2.0),1074030.0,-89.26,-89.26
ATR_Trailing K=0.5 (SL×1.5/TP×2.0),542319.0,-94.58,-94.58
ATR_Trailing K=0.7 (SL×1.5/TP×2.0),616128.0,-93.84,-93.84
Buy&Hold (equal weight),17542925.0,75.43,-31.94
